Station ID,Cycle0 (Bef),Cycle0 (Aft),Cycle1 (Bef),Cycle1 (Aft),Cycle2 (Bef),Cycle2 (Aft),Cycle3 (Bef),Cycle3 (Aft)
552,-17,-17,-21,-21,-21,-21,-18,-18
553,-15,-15,-16,-16,-17,-17,-9,-14
554,-11,-11,-11,-11,-11,-11,-10,-10
556,-17,-17,-18,-18,-18,-18,-19,-19
557,-14,-14,-14,-14,-14,-14,-14,-12
558,-16,-16,-17,-17,-17,-17,-13,-13
559,-16,-16,-16,-16,-16,-16,-15,-15
560,-14,-14,-14,-14,-14,-14,-12,-12
561,-15,-15,-15,-15,-15,-15,-13,-13
562,-14,-14,-14,-14,-13,-13,-13,-13
563,-18,-18,-18,-18,-18,-18,-18,-18
